Date,Visitor,G,Home,G,Type,Attendance,LOG
17-11-28,Chicago Blackhawks,2,Nashville Predators,3,,17187,02:39
17-11-28,Vancouver Canucks,2,New York Islanders,5,,11194,02:25
17-11-28,Florida Panthers,5,New York Rangers,4,,17376,02:35
17-11-28,San Jose Sharks,3,Philadelphia Flyers,1,,18935,02:22
17-11-28,Dallas Stars,3,Vegas Knights,0,,17579,02:35
17-11-29,Tampa Bay Lightning,2,Boston Bruins,3,,17565,02:41
17-11-29,Winnipeg Jets,2,Colorado Avalanche,3,OT,13017,02:35
17-11-29,Ottawa Senators,1,Montreal Canadiens,2,,21302,02:28
17-11-29,Anaheim Ducks,3,St. Louis Blues,2,,16760,02:36
17-11-30,Arizona Coyotes,0,Calgary Flames,3,,18093,02:22
17-11-30,Dallas Stars,4,Chicago Blackhawks,3,OT,21589,02:34
17-11-30,Montreal Canadiens,6,Detroit Red Wings,3,,19515,02:29
17-11-30,Toronto Maple Leafs,6,Edmonton Oilers,4,,18347,02:35
17-11-30,Vegas Knights,2,Minnesota Wild,4,,19084,02:26
17-11-30,Vancouver Canucks,5,Nashville Predators,3,,17113,02:31
17-11-30,Los Angeles Kings,5,Washington Capitals,2,,18506,02:21
17-12-01,Pittsburgh Penguins,4,Buffalo Sabres,0,,19070,02:26
17-12-01,Anaheim Ducks,2,Columbus Blue Jackets,4,,16206,02:34
17-12-01,New Jersey Devils,2,Colorado Avalanche,1,,14614,02:32
17-12-01,San Jose Sharks,2,Florida Panthers,1,,12323,02:27
17-12-01,Ottawa Senators,6,New York Islanders,5,,11797,02:36
17-12-01,Carolina Hurricanes,1,New York Rangers,5,,17695,02:24
17-12-01,Los Angeles Kings,4,St. Louis Blues,1,,18322,02:29
17-12-01,Vegas Knights,4,Winnipeg Jets,7,,15321,02:42
17-12-02,New Jersey Devils,0,Arizona Coyotes,5,,14338,02:32
17-12-02,Florida Panthers,2,Carolina Hurricanes,3,OT,14246,02:52
17-12-02,Edmonton Oilers,7,Calgary Flames,5,,19289,02:38
17-12-02,Chicago Blackhawks,2,Dallas Stars,3,SO,18532,02:38
17-12-02,St. Louis Blues,1,Minnesota Wild,2,OT,19107,02:30
17-12-02,Detroit Red Wings,1,Montreal Canadiens,10,,21302,02:28
17-12-02,Anaheim Ducks,2,Nashville Predators,3,SO,17113,02:52
17-12-02,Boston Bruins,3,Philadelphia Flyers,0,,19274,02:24
17-12-02,Buffalo Sabres,1,Pittsburgh Penguins,5,,18582,02:31
17-12-02,San Jose Sharks,2,Tampa Bay Lightning,5,,19092,02:34
17-12-02,Toronto Maple Leafs,1,Vancouver Canucks,2,,18865,02:23
17-12-02,Columbus Blue Jackets,3,Washington Capitals,4,,18506,02:28
17-12-03,Los Angeles Kings,3,Chicago Blackhawks,1,,21622,02:27
17-12-03,Dallas Stars,7,Colorado Avalanche,2,,13194,02:33
17-12-03,Arizona Coyotes,2,Vegas Knights,3,OT,17519,02:42
17-12-03,Ottawa Senators,0,Winnipeg Jets,5,,15321,02:28
17-12-04,Philadelphia Flyers,5,Calgary Flames,2,,18590,02:29
17-12-04,New York Islanders,5,Florida Panthers,4,SO,11210,02:51
17-12-04,Boston Bruins,3,Nashville Predators,5,,17113,02:38
17-12-04,San Jose Sharks,1,Washington Capitals,4,,18506,02:40
17-12-05,New Jersey Devils,4,Columbus Blue Jackets,1,,14282,02:26
17-12-05,Buffalo Sabres,4,Colorado Avalanche,2,,13258,02:32
17-12-05,Nashville Predators,5,Dallas Stars,2,,18023,02:26
17-12-05,Winnipeg Jets,1,Detroit Red Wings,5,,19515,02:32
17-12-05,Minnesota Wild,2,Los Angeles Kings,5,,18230,02:34
17-12-05,St. Louis Blues,4,Montreal Canadiens,3,,21302,02:20
17-12-05,New York Rangers,4,Pittsburgh Penguins,3,,18414,02:25
17-12-05,New York Islanders,2,Tampa Bay Lightning,6,,19092,02:25
17-12-05,Carolina Hurricanes,0,Vancouver Canucks,3,,17860,02:20
17-12-05,Anaheim Ducks,3,Vegas Knights,4,SO,17608,02:50
17-12-06,Ottawa Senators,0,Anaheim Ducks,3,,15890,02:31
17-12-06,Philadelphia Flyers,4,Edmonton Oilers,2,,18347,02:29
17-12-06,Calgary Flames,1,Toronto Maple Leafs,2,SO,19217,02:52
17-12-06,Chicago Blackhawks,2,Washington Capitals,6,,18506,02:30
17-12-07,Arizona Coyotes,1,Boston Bruins,6,,17565,02:32
17-12-07,Winnipeg Jets,4,Florida Panthers,6,,10768,02:42
17-12-07,Ottawa Senators,3,Los Angeles Kings,4,OT,18230,02:37
17-12-07,Calgary Flames,3,Montreal Canadiens,2,OT,21302,02:34
17-12-07,New York Islanders,3,Pittsburgh Penguins,4,OT,18433,02:32
17-12-07,Carolina Hurricanes,4,San Jose Sharks,5,OT,16947,02:20
17-12-07,Dallas Stars,0,St. Louis Blues,3,,16341,02:38
17-12-07,Colorado Avalanche,2,Tampa Bay Lightning,5,,19092,02:32
17-12-07,Philadelphia Flyers,4,Vancouver Canucks,1,,16515,02:34
17-12-08,Minnesota Wild,3,Anaheim Ducks,2,OT,16471,02:25
17-12-08,Buffalo Sabres,2,Chicago Blackhawks,3,OT,21542,02:36
17-12-08,Columbus Blue Jackets,5,New Jersey Devils,3,,16514,02:32
17-12-08,Vegas Knights,4,Nashville Predators,3,SO,17125,02:53
17-12-08,New York Rangers,2,Washington Capitals,4,,18506,02:24
17-12-09,New York Islanders,1,Boston Bruins,3,,17565,02:31
17-12-09,Arizona Coyotes,0,Columbus Blue Jackets,1,,17785,02:27
17-12-09,Vancouver Canucks,2,Calgary Flames,4,,18552,02:31
17-12-09,Vegas Knights,5,Dallas Stars,3,,18532,02:32
17-12-09,St. Louis Blues,6,Detroit Red Wings,1,,19515,02:22
17-12-09,Colorado Avalanche,7,Florida Panthers,3,,13821,02:33
17-12-09,Carolina Hurricanes,2,Los Angeles Kings,3,OT,18230,02:31
17-12-09,Edmonton Oilers,6,Montreal Canadiens,2,,21302,02:31
17-12-09,New Jersey Devils,2,New York Rangers,5,,18006,02:32
17-12-09,Toronto Maple Leafs,4,Pittsburgh Penguins,3,,18658,02:26
17-12-09,Ottawa Senators,0,San Jose Sharks,5,,17562,02:30
17-12-09,Winnipeg Jets,3,Tampa Bay Lightning,4,OT,19092,02:32
17-12-10,Arizona Coyotes,1,Chicago Blackhawks,3,,21654,02:26
17-12-10,Minnesota Wild,4,San Jose Sharks,3,OT,17205,02:36
17-12-10,Buffalo Sabres,2,St. Louis Blues,3,OT,17310,02:33
17-12-10,Edmonton Oilers,0,Toronto Maple Leafs,1,,19486,02:18
17-12-11,Carolina Hurricanes,2,Anaheim Ducks,3,,16198,02:24
17-12-11,Florida Panthers,2,Detroit Red Wings,1,OT,19515,02:46
17-12-11,Washington Capitals,1,New York Islanders,3,,11053,02:28
17-12-11,Dallas Stars,2,New York Rangers,1,SO,17667,02:33
17-12-11,Colorado Avalanche,2,Pittsburgh Penguins,1,,18411,02:29
17-12-11,Vancouver Canucks,1,Winnipeg Jets,5,,15321,02:20
17-12-12,Ottawa Senators,2,Buffalo Sabres,3,,17454,02:21
17-12-12,Edmonton Oilers,7,Columbus Blue Jackets,2,,14767,02:26
17-12-12,Florida Panthers,2,Chicago Blackhawks,3,OT,21795,02:38
17-12-12,Calgary Flames,1,Minnesota Wild,2,SO,18767,02:37
17-12-12,Los Angeles Kings,1,New Jersey Devils,5,,13275,02:23
17-12-12,Toronto Maple Leafs,2,Philadelphia Flyers,4,,19077,02:23
17-12-12,Tampa Bay Lightning,3,St. Louis Blues,0,,18290,02:21
17-12-12,Carolina Hurricanes,3,Vegas Knights,2,SO,17520,02:43
17-12-12,Colorado Avalanche,2,Washington Capitals,5,,18506,02:19
17-12-13,Boston Bruins,3,Detroit Red Wings,2,OT,19515,02:34
17-12-13,Dallas Stars,5,New York Islanders,2,,10316,02:23
17-12-13,New York Rangers,2,Ottawa Senators,3,,13212,02:17
17-12-13,Nashville Predators,7,Vancouver Canucks,1,,16806,02:39
17-12-14,Tampa Bay Lightning,4,Arizona Coyotes,1,,11591,02:31
17-12-14,Washington Capitals,5,Boston Bruins,3,,17565,02:37
17-12-14,New York Islanders,4,Columbus Blue Jackets,6,,15696,02:29
17-12-14,San Jose Sharks,3,Calgary Flames,2,,18730,02:28
17-12-14,Florida Panthers,1,Colorado Avalanche,2,,13096,02:20
17-12-14,Nashville Predators,4,Edmonton Oilers,0,,18347,02:31
17-12-14,Toronto Maple Leafs,0,Minnesota Wild,2,,18857,02:30
17-12-14,New Jersey Devils,1,Montreal Canadiens,2,OT,21302,02:29
17-12-14,Buffalo Sabres,1,Philadelphia Flyers,2,,19508,02:23
17-12-14,Anaheim Ducks,3,St. Louis Blues,1,,17822,02:27
17-12-14,Pittsburgh Penguins,1,Vegas Knights,2,,18029,02:27
17-12-14,Chicago Blackhawks,5,Winnipeg Jets,1,,15321,02:21
17-12-15,Carolina Hurricanes,5,Buffalo Sabres,4,OT,17610,02:38
17-12-15,Toronto Maple Leafs,1,Detroit Red Wings,3,,19515,02:26
17-12-15,Dallas Stars,2,New Jersey Devils,5,,13171,02:44
17-12-15,Los Angeles Kings,2,New York Rangers,4,,17756,02:24
17-12-15,San Jose Sharks,3,Vancouver Canucks,4,OT,17278,02:29
17-12-16,Pittsburgh Penguins,4,Arizona Coyotes,2,,13051,02:26
17-12-16,New York Rangers,3,Boston Bruins,2,OT,17565,02:38
17-12-16,Columbus Blue Jackets,1,Carolina Hurricanes,2,,11357,02:23
17-12-16,Nashville Predators,2,Calgary Flames,0,,18618,02:27
17-12-16,Tampa Bay Lightning,6,Colorado Avalanche,5,,16956,02:39
17-12-16,Edmonton Oilers,3,Minnesota Wild,2,,19034,02:29
17-12-16,Los Angeles Kings,3,New York Islanders,4,OT,13087,02:40
17-12-16,Montreal Canadiens,0,Ottawa Senators,3,,33959,02:42
17-12-16,Dallas Stars,1,Philadelphia Flyers,2,OT,19477,02:32
17-12-16,Winnipeg Jets,0,St. Louis Blues,2,,17964,02:32
17-12-16,Anaheim Ducks,2,Washington Capitals,3,OT,18506,02:26
17-12-17,Minnesota Wild,1,Chicago Blackhawks,4,,21813,02:26
17-12-17,Calgary Flames,6,Vancouver Canucks,1,,18236,02:31
17-12-17,Florida Panthers,2,Vegas Knights,5,,17593,02:35
17-12-17,St. Louis Blues,0,Winnipeg Jets,4,,15321,02:26
17-12-18,Columbus Blue Jackets,2,Boston Bruins,7,,17565,02:35
17-12-18,Pittsburgh Penguins,2,Colorado Avalanche,4,,15824,02:24
17-12-18,San Jose Sharks,3,Edmonton Oilers,5,,18347,02:29
17-12-18,Anaheim Ducks,3,New Jersey Devils,5,,16514,02:31
17-12-18,Los Angeles Kings,4,Philadelphia Flyers,1,,19617,02:24
17-12-19,Florida Panthers,3,Arizona Coyotes,2,,10203,02:40
17-12-19,Boston Bruins,3,Buffalo Sabres,0,,17811,02:28
17-12-19,Washington Capitals,4,Dallas Stars,3,OT,18112,02:34
17-12-19,Winnipeg Jets,6,Nashville Predators,4,,17432,02:39
17-12-19,Detroit Red Wings,6,New York Islanders,3,,10511,02:30
17-12-19,Anaheim Ducks,1,New York Rangers,4,,18006,02:21
17-12-19,Minnesota Wild,6,Ottawa Senators,4,,13804,02:29
17-12-19,Carolina Hurricanes,1,Toronto Maple Leafs,8,,19288,02:35
17-12-19,Montreal Canadiens,7,Vancouver Canucks,5,,18865,02:38
17-12-19,Tampa Bay Lightning,3,Vegas Knights,4,,17813,02:35
17-12-20,Toronto Maple Leafs,2,Columbus Blue Jackets,4,,17708,02:27
17-12-20,St. Louis Blues,1,Calgary Flames,2,,18410,02:36
17-12-20,Detroit Red Wings,3,Philadelphia Flyers,4,,19674,02:37
17-12-21,Winnipeg Jets,1,Boston Bruins,2,SO,17565,02:41
17-12-21,Chicago Blackhawks,0,Dallas Stars,4,,18532,02:30
17-12-21,St. Louis Blues,2,Edmonton Oilers,3,,18347,02:26
17-12-21,Colorado Avalanche,1,Los Angeles Kings,2,OT,18230,02:30
17-12-21,New York Rangers,3,New Jersey Devils,4,SO,16514,03:14
17-12-21,Carolina Hurricanes,4,Nashville Predators,1,,17492,02:31
17-12-21,Anaheim Ducks,5,New York Islanders,4,OT,10092,02:47
17-12-21,Columbus Blue Jackets,2,Pittsburgh Penguins,3,SO,18625,02:53
17-12-21,Vancouver Canucks,4,San Jose Sharks,5,OT,17562,02:32
17-12-21,Ottawa Senators,3,Tampa Bay Lightning,4,SO,19092,03:00
17-12-22,Washington Capitals,2,Arizona Coyotes,3,OT,10904,02:26
17-12-22,Philadelphia Flyers,2,Buffalo Sabres,4,,18222,02:34
17-12-22,Montreal Canadiens,3,Calgary Flames,2,,19289,02:35
17-12-22,Minnesota Wild,2,Florida Panthers,4,,13259,02:45
17-12-23,Colorado Avalanche,6,Arizona Coyotes,2,,11838,02:29
17-12-23,Detroit Red Wings,1,Boston Bruins,3,,17565,02:27
17-12-23,Buffalo Sabres,2,Carolina Hurricanes,4,,14470,02:27
17-12-23,Philadelphia Flyers,1,Columbus Blue Jackets,2,SO,17812,02:44
17-12-23,Nashville Predators,3,Dallas Stars,4,SO,18532,02:51
17-12-23,Montreal Canadiens,1,Edmonton Oilers,4,,18347,02:32
17-12-23,Ottawa Senators,0,Florida Panthers,1,,13694,02:35
17-12-23,Chicago Blackhawks,1,New Jersey Devils,4,,16514,02:31
17-12-23,Winnipeg Jets,2,New York Islanders,5,,13589,02:30
17-12-23,Toronto Maple Leafs,3,New York Rangers,2,,18006,02:46
17-12-23,Anaheim Ducks,4,Pittsburgh Penguins,0,,18622,02:25
17-12-23,Los Angeles Kings,0,San Jose Sharks,2,,17562,02:30
17-12-23,Minnesota Wild,0,Tampa Bay Lightning,3,,19092,02:32
17-12-23,St. Louis Blues,3,Vancouver Canucks,1,,17919,02:32
17-12-23,Washington Capitals,0,Vegas Knights,3,,18025,02:24
17-12-27,Vegas Knights,4,Anaheim Ducks,1,,17444,02:26
17-12-27,Ottawa Senators,1,Boston Bruins,5,,17565,02:19
17-12-27,Montreal Canadiens,1,Carolina Hurricanes,3,,14880,02:25
17-12-27,Arizona Coyotes,3,Colorado Avalanche,1,,15671,02:24
17-12-27,Dallas Stars,2,Minnesota Wild,4,,19107,02:31
17-12-27,Detroit Red Wings,1,New Jersey Devils,3,,16514,02:26
17-12-27,Buffalo Sabres,2,New York Islanders,3,OT,15027,02:29
17-12-27,Washington Capitals,0,New York Rangers,1,SO,18006,02:36
17-12-27,Columbus Blue Jackets,4,Pittsburgh Penguins,5,SO,18652,02:46
17-12-27,Nashville Predators,2,St. Louis Blues,1,,19097,02:24
17-12-27,Edmonton Oilers,3,Winnipeg Jets,4,,15321,02:29
17-12-28,Toronto Maple Leafs,7,Arizona Coyotes,4,,17125,02:36
17-12-28,Philadelphia Flyers,2,Florida Panthers,3,,17083,02:36
17-12-28,Vegas Knights,3,Los Angeles Kings,2,OT,18432,02:29
17-12-28,Calgary Flames,2,San Jose Sharks,3,SO,17562,02:34
17-12-28,Montreal Canadiens,1,Tampa Bay Lightning,3,,19092,02:32
17-12-28,Chicago Blackhawks,2,Vancouver Canucks,5,,18865,02:29
17-12-28,Boston Bruins,3,Washington Capitals,4,SO,18506,02:46
17-12-29,Calgary Flames,1,Anaheim Ducks,2,,17174,02:39
17-12-29,Pittsburgh Penguins,1,Carolina Hurricanes,2,,17975,02:30
17-12-29,Toronto Maple Leafs,3,Colorado Avalanche,4,OT,18013,02:36
17-12-29,St. Louis Blues,2,Dallas Stars,4,,18532,02:52
17-12-29,New York Rangers,2,Detroit Red Wings,3,SO,19515,02:52
17-12-29,Chicago Blackhawks,4,Edmonton Oilers,3,OT,18347,02:29
17-12-29,Nashville Predators,2,Minnesota Wild,4,,19147,02:40
17-12-29,Buffalo Sabres,4,New Jersey Devils,3,OT,16514,02:35
17-12-29,Columbus Blue Jackets,4,Ottawa Senators,5,,17031,02:24
17-12-29,Philadelphia Flyers,5,Tampa Bay Lightning,3,,19092,02:36
17-12-29,New York Islanders,2,Winnipeg Jets,4,,15321,02:35
17-12-30,Montreal Canadiens,0,Florida Panthers,2,,18013,02:31
17-12-30,Minnesota Wild,0,Nashville Predators,3,,17459,02:21
17-12-30,Boston Bruins,5,Ottawa Senators,0,,17579,02:26
17-12-30,Carolina Hurricanes,2,St. Louis Blues,3,,18749,02:26
17-12-30,Los Angeles Kings,4,Vancouver Canucks,3,,18865,02:35
17-12-30,New Jersey Devils,2,Washington Capitals,5,,18506,02:25
17-12-31,Arizona Coyotes,2,Anaheim Ducks,5,,17174,02:28
17-12-31,Tampa Bay Lightning,5,Columbus Blue Jackets,0,,18878,02:27
17-12-31,Chicago Blackhawks,3,Calgary Flames,4,OT,19289,02:37
17-12-31,New York Islanders,1,Colorado Avalanche,6,,17461,02:32
17-12-31,San Jose Sharks,0,Dallas Stars,6,,18532,02:24
17-12-31,Pittsburgh Penguins,1,Detroit Red Wings,4,,19515,02:36
17-12-31,Winnipeg Jets,5,Edmonton Oilers,0,,18347,02:25
17-12-31,Toronto Maple Leafs,3,Vegas Knights,6,,18118,02:30
18-01-01,New York Rangers,3,Buffalo Sabres,2,OT,41821,02:40
18-01-02,Washington Capitals,5,Carolina Hurricanes,4,OT,11989,02:29
18-01-02,Winnipeg Jets,2,Colorado Avalanche,3,OT,13058,02:39
18-01-02,Columbus Blue Jackets,2,Dallas Stars,1,,17235,02:29
18-01-02,Los Angeles Kings,5,Edmonton Oilers,0,,18347,02:31
18-01-02,Florida Panthers,1,Minnesota Wild,5,,19029,02:35
18-01-02,San Jose Sharks,4,Montreal Canadiens,1,,21302,02:21
18-01-02,Boston Bruins,5,New York Islanders,1,,11878,02:23
18-01-02,Pittsburgh Penguins,5,Philadelphia Flyers,1,,19558,02:29
18-01-02,New Jersey Devils,2,St. Louis Blues,3,SO,18324,02:54
18-01-02,Tampa Bay Lightning,2,Toronto Maple Leafs,0,,19344,02:28
18-01-02,Anaheim Ducks,5,Vancouver Canucks,0,,18865,02:33
18-01-02,Nashville Predators,0,Vegas Knights,3,,18171,02:25
18-01-03,Ottawa Senators,1,Detroit Red Wings,2,OT,19515,02:35
18-01-03,Chicago Blackhawks,5,New York Rangers,2,,18006,02:30
18-01-04,Nashville Predators,2,Arizona Coyotes,3,OT,13190,02:29
18-01-04,Los Angeles Kings,3,Calgary Flames,4,,19206,02:35
18-01-04,Columbus Blue Jackets,0,Colorado Avalanche,2,,13763,02:27
18-01-04,New Jersey Devils,3,Dallas Stars,4,,18114,02:34
18-01-04,Anaheim Ducks,1,Edmonton Oilers,2,SO,18347,02:44
18-01-04,Buffalo Sabres,2,Minnesota Wild,6,,19017,02:21
18-01-04,Tampa Bay Lightning,1,Montreal Canadiens,2,SO,21302,02:41
18-01-04,New York Islanders,4,Philadelphia Flyers,6,,19358,02:37
18-01-04,Carolina Hurricanes,4,Pittsburgh Penguins,0,,18595,02:19
18-01-04,Vegas Knights,1,St. Louis Blues,2,,18976,02:20
18-01-04,San Jose Sharks,2,Toronto Maple Leafs,3,SO,19132,02:49
18-01-05,Vegas Knights,5,Chicago Blackhawks,4,,21933,02:20
18-01-05,Florida Panthers,2,Detroit Red Wings,4,,19515,02:34
18-01-05,Pittsburgh Penguins,4,New York Islanders,0,,13641,02:37
18-01-05,San Jose Sharks,5,Ottawa Senators,6,OT,16061,02:40
18-01-05,Buffalo Sabres,3,Winnipeg Jets,4,,15321,02:32
18-01-06,New York Rangers,2,Arizona Coyotes,1,SO,13420,02:31
18-01-06,Carolina Hurricanes,1,Boston Bruins,7,,17565,02:25
18-01-06,Anaheim Ducks,2,Calgary Flames,3,,19258,02:33
18-01-06,Minnesota Wild,2,Colorado Avalanche,7,,18046,02:38
18-01-06,Edmonton Oilers,1,Dallas Stars,5,,18532,02:26
18-01-06,Nashville Predators,4,Los Angeles Kings,3,,18230,02:35
18-01-06,Tampa Bay Lightning,3,Ottawa Senators,6,,16247,02:41
18-01-06,St. Louis Blues,3,Philadelphia Flyers,6,,19665,02:27
18-01-06,Vancouver Canucks,2,Toronto Maple Leafs,3,SO,19361,02:59
18-01-07,Florida Panthers,2,Columbus Blue Jackets,3,SO,16535,02:55
18-01-07,Edmonton Oilers,1,Chicago Blackhawks,4,,21901,02:23
18-01-07,Tampa Bay Lightning,5,Detroit Red Wings,2,,19515,02:38
18-01-07,Vancouver Canucks,2,Montreal Canadiens,5,,21302,02:33
18-01-07,New Jersey Devils,4,New York Islanders,5,SO,15136,02:58
18-01-07,Buffalo Sabres,1,Philadelphia Flyers,4,,19662,02:32
18-01-07,Boston Bruins,5,Pittsburgh Penguins,6,OT,18553,02:36
18-01-07,New York Rangers,1,Vegas Knights,2,,18234,02:28
18-01-07,San Jose Sharks,1,Winnipeg Jets,4,,15321,02:29
18-01-07,St. Louis Blues,3,Washington Capitals,4,OT,18506,02:37
18-01-08,Columbus Blue Jackets,3,Toronto Maple Leafs,2,OT,18933,02:29
18-01-09,Winnipeg Jets,7,Buffalo Sabres,4,,17398,02:29
18-01-09,Calgary Flames,3,Minnesota Wild,2,OT,19011,02:43
18-01-09,Edmonton Oilers,1,Nashville Predators,2,,17188,02:24
18-01-09,Chicago Blackhawks,8,Ottawa Senators,2,,14007,02:35
18-01-09,Florida Panthers,7,St. Louis Blues,4,,18783,02:38
18-01-09,Carolina Hurricanes,4,Tampa Bay Lightning,5,,19092,02:45
18-01-09,Vancouver Canucks,1,Washington Capitals,3,,18506,02:36
18-01-10,Minnesota Wild,2,Chicago Blackhawks,1,,21721,02:33
18-01-10,Ottawa Senators,4,Toronto Maple Leafs,3,,19117,02:54
18-01-11,Columbus Blue Jackets,1,Buffalo Sabres,3,,18071,02:33
18-01-11,Calgary Flames,5,Tampa Bay Lightning,1,,19092,02:30
18-01-11,Carolina Hurricanes,3,Washington Capitals,1,,18506,02:24
18-01-12,Edmonton Oilers,4,Arizona Coyotes,2,,14077,02:22
18-01-12,Washington Capitals,4,Carolina Hurricanes,3,,16239,02:33
18-01-12,Vancouver Canucks,5,Columbus Blue Jackets,2,,16705,02:30
18-01-12,Winnipeg Jets,1,Chicago Blackhawks,2,,21588,02:28
18-01-12,Calgary Flames,4,Florida Panthers,2,,14519,02:35
18-01-13,Colorado Avalanche,4,Dallas Stars,1,,18532,02:35
18-01-13,Anaheim Ducks,4,Los Angeles Kings,2,,18443,02:26
18-01-13,Winnipeg Jets,1,Minnesota Wild,4,,19207,02:26
18-01-13,Boston Bruins,4,Montreal Canadiens,3,SO,21302,02:59
18-01-13,Philadelphia Flyers,5,New Jersey Devils,3,,16514,02:33
18-01-13,New York Islanders,7,New York Rangers,2,,18006,02:30
18-01-13,Detroit Red Wings,1,Pittsburgh Penguins,4,,18637,02:26
18-01-13,Arizona Coyotes,5,San Jose Sharks,6,OT,17562,02:36
18-01-13,Edmonton Oilers,3,Vegas Knights,2,OT,18351,02:30
18-01-14,Calgary Flames,4,Carolina Hurricanes,1,,15218,02:31
18-01-14,Detroit Red Wings,4,Chicago Blackhawks,0,,21830,02:18
18-01-14,Vancouver Canucks,3,Minnesota Wild,2,OT,18927,02:27
18-01-14,New York Rangers,2,Pittsburgh Penguins,5,,18647,02:31
18-01-15,Dallas Stars,3,Boston Bruins,2,OT,17565,02:40
18-01-15,Anaheim Ducks,1,Colorado Avalanche,3,,16090,02:19
18-01-15,San Jose Sharks,4,Los Angeles Kings,1,,18230,02:23
18-01-15,New York Islanders,5,Montreal Canadiens,4,OT,21302,02:46
18-01-16,San Jose Sharks,3,Arizona Coyotes,2,SO,11961,02:32
18-01-16,Dallas Stars,4,Detroit Red Wings,2,,19515,02:29
18-01-16,Vegas Knights,0,Nashville Predators,1,,17150,02:32
18-01-16,New Jersey Devils,4,New York Islanders,1,,12695,02:26
18-01-16,Philadelphia Flyers,1,New York Rangers,5,,18006,02:24
18-01-16,St. Louis Blues,2,Toronto Maple Leafs,1,OT,18951,02:33
18-01-17,Pittsburgh Penguins,3,Anaheim Ducks,5,,17291,02:35
18-01-17,Montreal Canadiens,1,Boston Bruins,4,,17565,02:32
18-01-18,Dallas Stars,1,Columbus Blue Jackets,2,SO,17574,02:41
18-01-18,San Jose Sharks,3,Colorado Avalanche,5,,14349,02:32
18-01-18,Pittsburgh Penguins,3,Los Angeles Kings,1,,18230,02:29
18-01-18,Washington Capitals,3,New Jersey Devils,4,OT,14163,02:32
18-01-18,Arizona Coyotes,2,Nashville Predators,3,SO,17138,02:50
18-01-18,Boston Bruins,5,New York Islanders,2,,11803,02:26
18-01-18,Buffalo Sabres,3,New York Rangers,4,,18006,02:30
18-01-18,St. Louis Blues,4,Ottawa Senators,1,,14002,02:19
18-01-18,Toronto Maple Leafs,2,Philadelphia Flyers,3,OT,19860,02:33
18-01-18,Vegas Knights,4,Tampa Bay Lightning,1,,19092,02:28
18-01-19,Los Angeles Kings,1,Anaheim Ducks,2,,17258,02:30
18-01-19,Vegas Knights,3,Florida Panthers,4,OT,17468,02:31
18-01-19,Montreal Canadiens,3,Washington Capitals,2,,18506,02:30
18-01-20,Dallas Stars,7,Buffalo Sabres,1,,19070,02:26
18-01-20,Winnipeg Jets,2,Calgary Flames,1,SO,19289,02:44
18-01-20,New York Islanders,7,Chicago Blackhawks,3,,21882,02:35
18-01-20,New York Rangers,1,Colorado Avalanche,3,,18056,02:26
18-01-20,Carolina Hurricanes,3,Detroit Red Wings,1,,19515,02:25
18-01-20,Vancouver Canucks,2,Edmonton Oilers,5,,18347,02:25
18-01-20,Tampa Bay Lightning,2,Minnesota Wild,5,,19007,02:35
18-01-20,Boston Bruins,4,Montreal Canadiens,1,,21302,02:44
18-01-20,Florida Panthers,3,Nashville Predators,4,,17441,02:33
18-01-20,Toronto Maple Leafs,4,Ottawa Senators,3,,17768,02:41
18-01-20,New Jersey Devils,1,Philadelphia Flyers,3,,19934,02:24
18-01-20,Pittsburgh Penguins,1,San Jose Sharks,2,,17562,02:25
18-01-20,Arizona Coyotes,5,St. Louis Blues,2,,19235,02:27
18-01-21,San Jose Sharks,6,Anaheim Ducks,2,,17347,02:28
18-01-21,Vegas Knights,5,Carolina Hurricanes,1,,15303,02:26
18-01-21,New York Rangers,2,Los Angeles Kings,4,,18230,02:31
18-01-21,Vancouver Canucks,0,Winnipeg Jets,1,,15321,02:28
18-01-21,Philadelphia Flyers,2,Washington Capitals,1,OT,18506,02:27
18-01-22,New York Islanders,2,Arizona Coyotes,3,OT,11707,02:23
18-01-22,Buffalo Sabres,2,Calgary Flames,1,OT,18349,02:28
18-01-22,Tampa Bay Lightning,2,Chicago Blackhawks,0,,21662,02:18
18-01-22,Ottawa Senators,1,Minnesota Wild,3,,18907,02:29
18-01-22,Detroit Red Wings,3,New Jersey Devils,0,,13847,02:30
18-01-22,Colorado Avalanche,4,Toronto Maple Leafs,2,,18979,02:37
18-01-23,New York Rangers,3,Anaheim Ducks,6,,16763,02:32
18-01-23,New Jersey Devils,2,Boston Bruins,3,,17565,02:45
18-01-23,Florida Panthers,1,Dallas Stars,6,,17987,02:39
18-01-23,Philadelphia Flyers,3,Detroit Red Wings,2,OT,19515,02:30
18-01-23,Buffalo Sabres,5,Edmonton Oilers,0,,18347,02:26
18-01-23,Colorado Avalanche,2,Montreal Canadiens,4,,21302,02:24
18-01-23,Tampa Bay Lightning,4,Nashville Predators,3,OT,17332,02:37
18-01-23,Carolina Hurricanes,1,Pittsburgh Penguins,3,,18421,02:30
18-01-23,Winnipeg Jets,5,San Jose Sharks,4,OT,17237,02:24
18-01-23,Ottawa Senators,0,St. Louis Blues,3,,18505,02:26
18-01-23,Los Angeles Kings,2,Vancouver Canucks,6,,18865,02:42
18-01-23,Columbus Blue Jackets,3,Vegas Knights,6,,18231,02:35
